A : 180, B : 53, TP : 9540, AP : 9440 
A : 75, B : 47, TP : 3525, AP : 3504 
A : 51, B : 135, TP : 6885, AP : 6876 
A : 73, B : 185, TP : 13505, AP : 13480 
A : 242, B : 15, TP : 3630, AP : 3480 
A : 141, B : 83, TP : 11703, AP : 11688 
A : 28, B : 204, TP : 5712, AP : 5664 
A : 116, B : 23, TP : 2668, AP : 2608 
A : 17, B : 59, TP : 1003, AP : 1003 
A : 142, B : 128, TP : 18176, AP : 18198 
A : 219, B : 177, TP : 38763, AP : 38304 
A : 13, B : 39, TP : 507, AP : 504 
A : 250, B : 148, TP : 37000, AP : 36768 
A : 81, B : 171, TP : 13851, AP : 13840 
A : 173, B : 211, TP : 36503, AP : 36256 
A : 5, B : 124, TP : 620, AP : 620 
A : 8, B : 80, TP : 640, AP : 640 
A : 242, B : 13, TP : 3146, AP : 3096 
A : 139, B : 214, TP : 29746, AP : 29680 
A : 176, B : 200, TP : 35200, AP : 35072 
